* IJF Known Names
87. Gerard Ryle: https://en.wikipedia.org/wiki/Gerard_Ryle
88. Angela Saini: https://en.wikipedia.org/wiki/Angela_Saini
89. Nivine Sandouka: https://en.wikipedia.org/wiki/Nivine_Sandouka
90. Anya Schiffrin: https://en.wikipedia.org/wiki/Anya_Schiffrin
91. Vivian Schiller: https://en.wikipedia.org/wiki/Vivian_Schiller
92. David Schraven: https://en.wikipedia.org/wiki/David_Schraven
93. Tim Sebastian: https://en.wikipedia.org/wiki/Tim_Sebastian
94. Barbara Serra: https://en.wikipedia.org/wiki/Barbara_Serra
95. Giovanni Severini: https://en.wikipedia.org/wiki/Giovanni_Severini
96. Versha Sharma: https://en.wikipedia.org/wiki/Versha_Sharma
97. Daryna Shevchenko: https://en.wikipedia.org/wiki/Daryna_Shevchenko
98. Dmitry Shishkin: https://en.wikipedia.org/wiki/Dmitry_Shishkin
99. Evan Smith: https://en.wikipedia.org/wiki/Evan_Smith
100. Marianna Spring: https://en.wikipedia.org/wiki/Marianna_Spring
101. Jeffrey Sterling: https://en.wikipedia.org/wiki/Jeffrey_Sterling
102. Chris Stokel-Walker: https://en.wikipedia.org/wiki/Chris_Stokel-Walker
103. Sterling Jeffrey: https://en.wikipedia.org/wiki/Jeffrey_Alexander_Sterling
104. Hannah Storm: https://en.wikipedia.org/wiki/Hannah_Storm
105. Dena Takruri: https://en.wikipedia.org/wiki/Dena_Takruri
106. Galina Timchenko: https://en.wikipedia.org/wiki/Galina_Timchenko
107. Nicole Tung: https://en.wikipedia.org/wiki/Nicole_Tung
108. Siddharth Varadarajan: https://en.wikipedia.org/wiki/Siddharth_Varadarajan
109. Rebecca Vincent: https://en.wikipedia.org/wiki/Rebecca_Vincent
110. Lauren Walsh: https://en.wikipedia.org/wiki/Lauren_Walsh
111. Tracy Weber: https://en.wikipedia.org/wiki/Tracy_Weber
112. Amy Westervelt: https://en.wikipedia.org/wiki/Amy_Westervelt
113. Rachel White: https://en.wikipedia.org/wiki/Rachel_White_(actress)
114. Antonio Zappulla: https://en.wikipedia.org/wiki/Antonio_Zappulla
